operation,index,count,percent
False,0,11,0.36
And,1,21,0.69
AAndNotB,2,20,0.66
A,3,2877,94.64
NotAAndB,4,1,0.03
B,5,18,0.59
Xor,6,2,0.07
Or,7,62,2.04
Nor,8,1,0.03
Xnor,9,0,0.00
NotB,10,9,0.30
AOrNotB,11,7,0.23
NotA,12,0,0.00
NotAOrB,13,0,0.00
Nand,14,1,0.03
True,15,10,0.33
